Place,Lat,Lon,Altitude_in_ft,Altitide_in_mt
Abdul,19.67,76.88,1420,430.30
Abhona,20.48,73.92,2096,635.15
Achalpur,21.26,77.51,1210,366.67
Achra,16.22,73.47,180,54.55
Adad,18.39,72.95,65,19.70
Adarki,17.92,74.22,2290,693.94
Adarki,17.92,74.22,2290,693.94
Adas,18.77,76.23,2326,704.85
Adavad,21.22,75.45,603,182.73
Adgaon,18.22,72.95,16,4.85
Adgaon,20.50,77.67,1243,376.67
Adhe,17.92,73.08,344,104.24
Adi,18.40,72.92,85,25.76
Adi,18.39,72.93,59,17.88
Adiura,16.72,73.35,213,64.55
Adivra,16.72,73.35,213,64.55
Adul,19.72,75.53,1794,543.64
Adul,20.93,77.22,912,276.36
Adul,19.72,75.53,1794,543.64
Adul,19.72,75.53,1794,543.64
Adyal,20.93,79.72,790,239.39
Adyar,20.93,79.72,790,239.39
Agar,18.18,72.99,16,4.85
Agashi,19.47,72.78,36,10.91
Agashi,19.15,73.47,364,110.30
Agva,17.38,73.52,354,107.27
Ahiri,19.40,80.02,396,120.00
Ahmadnagar,19.08,74.73,2129,645.15
Ahmadpur,18.70,76.93,1686,510.91
Ahmednagar,19.08,74.73,2129,645.15
Ahmedpur,18.70,76.93,1686,510.91
Ahupe,19.18,73.60,3169,960.30
Ainpur,21.17,76.03,784,237.58
Ajanta,20.53,75.75,1925,583.33
Ajni,21.15,79.10,997,302.12
Ajra,16.12,74.20,2165,656.06
Akalkot,17.53,76.22,1456,441.21
Akera,19.62,80.30,711,215.45
Akera,19.62,80.30,711,215.45
Aklui,17.90,75.03,1581,479.09
Akluj,17.90,75.03,1581,479.09
Akola,17.98,75.25,1643,497.88
Akola,20.73,77.00,928,281.21
Akola,19.53,74.00,2004,607.27
Akola,20.17,78.17,941,285.15
Akolner,18.98,74.67,2227,674.85
Akot,21.10,77.06,1131,342.73
Aksāpur,19.77,79.65,574,173.94
Alamgaon,19.73,75.77,1558,472.12
Alandi,18.67,73.90,1893,573.64
Alandi-Devachi,18.67,73.90,1893,573.64
Alate,16.77,74.40,1929,584.55
Ale,19.17,74.12,2178,660.00
Alegaon,18.60,74.32,1722,521.82
Alegaon,19.15,77.15,1164,352.73
Alegaon,20.40,76.83,1154,349.70
Alewabi,20.38,79.70,715,216.67
Alewahi,20.38,79.70,715,216.67
Alibagh,18.64,72.88,0,0.00
Alipur,20.57,78.68,790,239.39
Alkuti,19.05,74.23,2148,650.91
Alland,20.20,75.55,2083,631.21
Allapalli,19.42,80.07,482,146.06
Alora,17.47,73.57,236,71.52
Alta,17.17,74.53,1994,604.24
Alta,16.77,74.40,1929,584.55
Alur,17.70,76.42,1896,574.55
Alāpillai,19.42,80.07,482,146.06
Alībāg,18.64,72.88,0,0.00
Amalner,21.05,75.07,597,180.91
Amalner,18.93,75.33,2296,695.76
Amaravati,20.93,77.75,1125,340.91
Amarnāth,19.20,73.17,118,35.76
Amba,19.23,75.48,1620,490.91
Ambabarwa,21.23,76.65,2247,680.91
Ambad,19.62,75.80,1643,497.88
Ambajhari,21.05,78.83,1437,435.45
Ambalga,18.15,76.87,1968,596.36
Ambalga,18.15,76.87,1968,596.36
Ambaltek,18.77,76.57,1860,563.64
Ambarnath,19.20,73.17,118,35.76
Ambavli,17.72,73.55,620,187.88
Ambavna,18.62,73.37,2273,688.79
Ambe,18.73,76.38,2116,641.21
Ambegaon,19.12,73.73,2480,751.52
Ambejogai,18.73,76.38,2116,641.21
Ambepur,18.58,72.95,98,29.70
Ambewari,19.83,75.13,1686,510.91
Ambgaon,20.65,79.95,695,210.61
Ambhai,20.47,75.57,2214,670.91
Amboli,18.32,72.99,249,75.45
Amboli,17.72,73.55,620,187.88
Ambājogāi,18.73,76.38,2116,641.21
Ambāra,21.33,77.90,1295,392.42
Amdāpur,19.68,77.92,1056,320.00
Amgaon,20.65,79.95,695,210.61
Amgaon,21.37,80.37,1049,317.88
Amli,21.62,74.03,593,179.70
Amraoti,20.93,77.75,1125,340.91
Amrāvati,20.93,77.75,1125,340.91
Amārāpur,19.28,75.18,1663,503.94
Anaskura,16.78,73.80,1978,599.39
Andheri,19.12,72.83,39,11.82
Andhori,18.77,76.83,1768,535.76
Andhāri,20.27,75.48,2112,640.00
Andori,20.53,78.50,797,241.52
Andura,20.88,76.85,807,244.55
Ane,19.17,74.23,2670,809.09
Angar,17.90,75.57,1541,466.97
Angarle,17.85,73.09,36,10.91
Anjangaon,18.08,75.60,1558,472.12
Anjangaon,21.16,77.31,1227,371.82
Anjanvel,17.55,73.15,367,111.21
Anjarla,17.85,73.09,36,10.91
Anji,20.87,78.53,912,276.36
Anjih,20.87,78.53,912,276.36
Anjāla,21.10,75.75,643,194.85
Ankla,17.05,75.03,2106,638.18
Ankīsha,18.72,80.13,337,102.12
Anshing,20.03,77.32,1774,537.58
Ansing,20.03,77.32,1774,537.58
Antūr,20.43,75.23,2178,660.00
Anva,20.42,75.78,2057,623.33
Arag,16.78,74.80,1961,594.24
Arath,18.09,73.00,160,48.48
Arav,17.73,73.63,2211,670.00
Aravi,18.09,73.00,101,30.61
Ardhapur,19.28,77.38,1213,367.58
Aregaon,21.02,78.72,1174,355.76
Argaon,19.57,76.87,1354,410.30
Argaon,21.12,76.94,1000,303.03
Arjuni,20.82,80.03,800,242.42
Arjuni,21.10,80.15,843,255.45
Arla,17.08,73.92,1820,551.52
Arli,19.83,78.35,935,283.33
Arli,19.83,78.35,935,283.33
Armori,20.47,79.98,656,198.79
Arnala,19.45,72.75,19,5.76
Arnalla,19.45,72.75,19,5.76
Arni,20.07,77.95,1020,309.09
Arnālapāda,19.45,72.75,19,5.76
Arola,17.75,74.05,2112,640.00
Arvi,20.73,74.72,1194,361.82
Arvi,18.37,73.82,2716,823.03
Arvi,20.98,78.23,997,302.12
Arwi,19.13,73.95,2181,660.91
Asangaon,19.45,73.30,232,70.30
Asegaon,20.00,76.97,1650,500.00
Asgan,17.63,73.43,659,199.70
Asgani,17.63,73.43,659,199.70
Ashta,16.95,74.40,1860,563.64
Ashta,17.85,75.40,1597,483.94
Ashtami,18.45,73.13,39,11.82
Ashti,17.85,75.40,1597,483.94
Ashti,19.68,79.80,498,150.91
Ashti,21.20,78.18,1082,327.88
Ashti,18.82,75.18,1988,602.42
Ashwi,19.35,74.35,1948,590.30
Ashwi,19.52,74.37,1732,524.85
Asona,17.67,73.27,728,220.61
Asra,20.87,77.50,990,300.00
Assaye,20.25,75.88,1827,553.64
Assegaon,21.13,77.57,1154,349.70
Assoondee,19.87,80.28,961,291.21
Assundi,19.87,80.28,961,291.21
Astagaon,19.67,74.50,1709,517.88
Astgaon,19.67,74.50,1709,517.88
Asu,18.03,74.65,1732,524.85
Asumumbay,18.98,72.83,91,27.58
Atgaon,19.50,73.33,449,136.06
Atit,17.53,74.07,2014,610.30
Atpādi,17.42,74.95,1827,553.64
Aunda,19.53,77.05,1499,454.24
Aundah,19.53,77.05,1499,454.24
Aundh,17.55,74.33,2647,802.12
Aundh,20.23,80.45,1023,310.00
Aundhi,20.23,80.45,1023,310.00
Aurad,18.07,76.93,1771,536.67
Aurangabad,19.88,75.33,1866,565.45
Aure,18.83,73.00,29,8.79
Ausa,18.25,76.50,2080,630.30
Ausari,18.97,74.00,2116,641.21
Ausari,18.97,74.00,2116,641.21
Avalegaon,16.12,73.77,344,104.24
Avas,18.77,72.87,62,18.79
Babra,20.22,75.42,2165,656.06
Babupet,19.93,79.33,702,212.73
Babūlgaon,19.17,76.45,1322,400.61
Babūlgaon,20.57,78.17,849,257.27
Badlapur,19.15,73.27,144,43.64
Badnapur,19.87,75.73,1637,496.06
Badnera,20.87,77.73,1138,344.85
Baghnadi,21.07,80.45,1030,312.12
Bagmala,18.59,72.92,39,11.82
Bagni,16.90,74.37,1837,556.67
Bahardurpur,20.92,75.03,748,226.67
Bahela,21.40,80.52,977,296.06
Bahipur,20.57,75.00,954,289.09
Bahirevadi,16.28,74.32,2516,762.42
Bahirewādi,16.28,74.32,2516,762.42
Bahradi,20.37,75.55,2086,632.12
Bahādarpur,20.92,75.03,748,226.67
Bahādurpur,20.92,75.03,748,226.67
Bairāgarh,21.69,77.06,1076,326.06
Baitagaon,19.78,72.78,19,5.76
Bajegaon,18.93,77.63,1118,338.79
Balam,19.30,75.47,1564,473.94
Balam,19.10,75.48,1660,503.03
Balapur,19.53,77.40,1394,422.42
Balapur,20.67,76.77,875,265.15
Balayaduri,19.72,73.58,2234,676.97
Balgaon,17.18,75.60,1617,490.00
Balharshah,19.83,79.37,577,174.85
Ballalpur,19.83,79.35,574,173.94
Ballapur,19.83,79.37,577,174.85
Ballard,18.93,72.83,0,0.00
Ballarpur,19.83,79.35,574,173.94
Balsāna,21.17,74.48,1033,313.03
Bamangaon,18.63,72.94,68,20.61
Bamanpalli,19.27,80.42,606,183.64
Bambavdewadi,16.87,74.03,1781,539.70
Ban,21.68,74.32,767,232.42
Banati,20.50,75.35,1089,330.00
Banda,15.82,73.87,104,31.52
Bandra,19.07,72.83,39,11.82
Banoti,20.50,75.35,1089,330.00
Banpuri,17.35,74.87,2020,612.12
Bapane,19.35,72.90,45,13.64
Bapera,21.52,79.90,849,257.27
Baple,18.56,72.98,29,8.79
Bapsai,19.27,73.27,209,63.33
Barad,17.93,74.58,2030,615.15
Baragaon,19.92,74.05,2066,626.06
Baramati,18.15,74.58,1765,534.85
Barhānpur,19.85,72.93,141,42.73
Barkatpur,20.38,75.40,2086,632.12
Basegaon,20.17,73.75,2280,690.91
Basim,20.10,77.15,1791,542.73
Basmat,19.32,77.17,1246,377.58
Basmath,19.32,77.17,1246,377.58
Basnamba,19.77,77.20,1519,460.30
Bavda,16.53,73.83,2139,648.18
Bawanbir,21.09,76.71,951,288.18
Begampur,17.57,75.58,1473,446.36
Bel,19.60,74.83,1604,486.06
Bela,20.78,79.02,813,246.36
Belankhi,16.85,74.87,2053,622.12
Belanki,16.85,74.87,2053,622.12
Belapur,19.57,74.65,1653,500.91
Belapur,19.02,73.03,0,0.00
Belapurpāda,19.02,73.03,0,0.00
Belhe,19.12,74.18,2237,677.88
Belkhar,18.44,72.99,42,12.73
Belkāde,18.64,72.91,45,13.64
Belshakarga,18.32,77.17,2037,617.27
Belvandi,18.72,74.58,1883,570.61
Belvandi,18.72,74.58,1883,570.61
Bembal,19.93,79.73,564,170.91
Bemballa,19.93,79.73,564,170.91
Bembla,17.93,75.22,1633,494.85
Bemli,18.13,76.20,2011,609.39
Bendāri,20.95,80.47,1246,377.58
Bere,19.38,73.23,68,20.61
Bergaon,20.68,80.45,1259,381.52
Bergaon-Belgeum,16.60,74.50,1781,539.70
Betavad,20.77,75.97,1125,340.91
Betavad,21.17,74.92,541,163.94
Betavad,20.77,75.97,1125,340.91
Betergaon,18.47,75.23,1738,526.67
Betgaon,19.78,72.78,19,5.76
Betmogra,18.70,77.55,1164,352.73
Betāvad,20.77,75.97,1125,340.91
Bhada,18.27,76.40,2129,645.15
Bhadgaon,20.67,75.23,872,264.24
Bhadji,20.02,75.20,2260,684.85
Bhadkamba,16.97,73.70,1089,330.00
Bhadvad,21.32,74.10,652,197.58
Bhadvad,21.32,74.10,652,197.58
Bhairipāda,18.76,72.97,42,12.73
Bhaitana,20.60,73.90,2165,656.06
Bhalauni,19.12,74.55,2375,719.70
Bhalavani,17.70,75.13,1620,490.91
Bhalavni,17.70,75.13,1620,490.91
Bhalpada,18.77,73.00,42,12.73
Bhambhurda,18.53,73.83,1896,574.55
Bhambiya,17.53,73.88,2381,721.52
Bhambudra,18.53,73.83,1896,574.55
Bhamburda,18.53,73.83,1896,574.55
Bhamragarh,19.42,80.60,761,230.61
Bhanas,19.48,74.98,1686,510.91
Bhandak,20.10,79.12,721,218.48
Bhandāra,21.17,79.65,800,242.42
Bhans-Hivra,19.48,74.98,1686,510.91
Bhanwad,20.42,73.67,2319,702.73
Bharos,20.07,74.27,1824,552.73
Bhategaon,19.38,77.38,1305,395.45
Bhaudi,18.63,74.82,1899,575.45
Bhawani,19.98,75.88,1811,548.79
Bhaweghar,18.48,72.92,288,87.27
Bhayandar,19.30,72.85,9,2.73
Bhayndar,19.30,72.85,9,2.73
Bhayundar,19.30,72.85,9,2.73
Bhedshi,15.72,74.03,111,33.64
Bhendkhal,18.88,72.98,13,3.94
Bhigvan,18.32,74.77,1663,503.94
Bhilavadi,16.98,74.47,1801,545.76
Bhilavdi,16.98,74.47,1801,545.76
Bhir,18.98,75.77,1614,489.09
Bhiravda,16.30,73.83,1023,310.00
Bhirvāda,16.30,73.83,1023,310.00
Bhisi,20.63,79.40,882,267.27
Bhiwandi,19.30,73.07,78,23.64
Bhiwapur,20.77,79.52,833,252.42
Bhiwndi,19.30,73.07,78,23.64
Bhogaon,19.30,77.02,1292,391.52
Bhogaon,19.57,76.77,1354,410.30
Bhogaon,16.75,73.98,2096,635.15
Bhogaon,21.08,79.33,846,256.36
Bhokar,21.17,75.37,541,163.94
Bhokar,19.22,77.68,1512,458.18
Bhokardan,20.27,75.77,1925,583.33
Bhokarwādi,20.02,75.60,1975,598.48
Bhom,17.52,73.42,88,26.67
Bhonang,18.54,72.99,131,39.70
Bhoom,18.47,75.67,1975,598.48
Bhor,18.17,73.85,1929,584.55
Bhorvadi,19.28,74.83,1952,591.52
Bhos,19.62,75.45,1601,485.15
Bhosa,16.95,74.72,2093,634.24
Bhosa,17.80,75.28,1571,476.06
Bhose,16.95,74.72,2093,634.24
Bhoyar,18.35,76.40,2034,616.36
Bhudgaon,16.90,74.60,1814,549.70
Bhugaon,21.08,79.33,846,256.36
Bhun,16.72,73.47,374,113.33
Bhusaval,21.05,75.77,685,207.58
Bhusāwal,21.05,75.77,685,207.58
Bhālgaon,18.30,73.05,65,19.70
Bhāmarvādi,20.33,75.07,2204,667.88
Bhāmbourda,18.53,73.83,1896,574.55
Bhāmer,21.07,74.33,1738,526.67
Bhāndup,19.15,72.93,36,10.91
Bhāngar,17.83,73.25,488,147.88
Bhānoli,21.85,74.13,892,270.30
Bhātghar,18.17,73.87,1909,578.48
Bhātkuli,20.90,77.60,958,290.30
Bhīmāshankar,19.07,73.53,3103,940.30
Bhūm,18.47,75.67,1975,598.48
Bibi,20.02,76.37,1722,521.82
Bid,16.65,74.13,1738,526.67
Bid,18.98,75.77,1614,489.09
Bidh,18.98,75.77,1614,489.09
Bidkingaon,19.70,75.30,1617,490.00
Bidsangvi,18.88,75.23,2355,713.64
Bijur,18.73,77.58,1348,408.48
Bilashi,16.98,74.03,1942,588.48
Bilasi,16.98,74.03,1942,588.48
Biloli,18.77,77.73,1138,344.85
Bir,18.98,75.77,1614,489.09
Birjpara,20.05,73.27,866,262.42
Birvadi,18.12,73.50,377,114.24
Bitargaon,19.55,77.93,1269,384.55
Bitargaon,19.55,77.93,1269,384.55
Bitkevādi,18.65,74.88,1978,599.39
Boblad,16.98,75.65,1906,577.58
Boblad,17.22,75.43,1784,540.61
Bodhegaon,19.30,75.45,1604,486.06
Bodvad,20.88,75.98,1020,309.09
Boisar,19.80,72.75,32,9.70
Bokadvira,18.88,72.98,13,3.94
Bolthān,20.18,74.92,1896,574.55
Bombay,18.98,72.83,91,27.58
Bombay,18.93,72.83,0,0.00
Bombay,19.05,72.83,0,0.00
Bombay,18.97,72.83,108,32.73
Bombay,18.98,72.83,98,29.70
Bombay,18.91,72.81,108,32.73
Bombay,18.97,72.80,187,56.67
Bombay,19.05,72.87,36,10.91
Bombay,18.95,72.82,22,6.67
Bombay,19.03,72.85,32,9.70
Bombay,18.95,72.78,0,0.00
Bombay,19.48,72.90,42,12.73
Bombay,19.03,72.85,32,9.70
Bombay,18.97,72.84,0,0.00
Bombay,19.00,72.83,72,21.82
Bombay,19.08,72.83,39,11.82
Bombay,19.03,72.85,32,9.70
Bombay,19.00,72.85,0,0.00
Bombay,18.97,72.82,101,30.61
Bombay,19.10,72.83,39,11.82
Bombay,19.02,72.85,32,9.70
Bombay,19.02,72.82,32,9.70
Borad,21.63,74.33,492,149.09
Boradi,21.52,74.90,892,270.30
Borgaon,16.60,74.50,1781,539.70
Borgaon,18.63,75.97,2158,653.94
Borgaon,19.53,77.55,1325,401.52
Borgaon,20.98,78.57,1295,392.42
Borgaon,18.63,75.97,2158,653.94
Borgaon,20.72,77.15,984,298.18
Borgbar,17.82,73.42,600,181.82
Bori,18.87,72.92,3,0.91
Bori,19.50,76.73,1341,406.36
Bori,19.87,78.58,744,225.45
Bori,20.90,79.00,859,260.30
Bori,18.37,76.70,1899,575.45
Bori,19.12,74.10,2057,623.33
Bori,20.35,77.87,1102,333.94
Bori,21.31,76.96,2040,618.18
Bori-Budruk,19.12,74.10,2057,623.33
Boria,17.40,73.18,275,83.33
Boris,21.08,74.63,895,271.21
Borivli,19.23,72.85,36,10.91
Borkhedi,20.85,78.95,902,273.33
Borkund,20.70,74.83,1020,309.09
Borlai,18.50,72.92,45,13.64
Borlai,18.17,73.01,262,79.39
Borlai,18.17,73.01,262,79.39
Borlai-Panchatan,18.17,73.01,262,79.39
Borpada,21.13,73.93,718,217.58
Borshet,19.83,72.85,68,20.61
Borsheti,19.83,72.85,68,20.61
Borvihir,21.03,73.83,885,268.18
Bote,19.25,74.15,2404,728.48
Bowra,16.53,73.83,2139,648.18
Brahmanwada,19.33,74.03,2785,843.94
Brahmanwāde,19.33,74.03,2785,843.94
Brahmapuri,17.55,75.57,1469,445.15
Brahmapuri,20.60,79.87,711,215.45
Bramhapari,20.60,79.87,711,215.45
Bramhapuri,20.60,79.87,711,215.45
Brāhmangaon,20.55,74.30,1591,482.12
Brāhmanvel,21.15,74.22,1610,487.88
Budh,17.77,74.35,2837,859.70
Budhgaon,16.90,74.60,1814,549.70
Buldana,20.03,75.78,1988,602.42
Buldana,20.53,76.18,2096,635.15
Burdapur,18.63,76.50,2066,626.06
Burli,17.43,75.30,1778,538.79
Burrumpur,19.85,72.93,141,42.73
Burti,17.43,75.30,1778,538.79
Busegaon,17.72,74.33,2670,809.09
Bute,19.85,75.00,1594,483.03
Butram,21.70,77.25,1249,378.48
Byculla,18.97,72.83,108,32.73
Chakur,17.97,76.67,2020,612.12
Chakur,18.50,76.88,2040,618.18
Chamursi,19.93,79.88,600,181.82
Chanaje,18.86,72.95,29,8.79
Chandankhera,20.27,79.20,702,212.73
Chandas,20.18,76.87,1837,556.67
Chande,19.37,74.93,1702,515.76
Chandgad,15.93,74.20,2372,718.79
Chandi,19.37,74.93,1702,515.76
Chandol,20.33,76.00,1801,545.76
Chandoli,16.97,73.83,1948,590.30
Chandrapur,19.95,79.30,620,187.88
Chandur,20.82,77.97,1092,330.91
Chandur,19.73,79.18,757,229.39
Chandur,21.24,77.75,1187,359.70
Chandvad,20.33,74.25,2814,852.73
Chandwar,20.33,74.25,2814,852.73
Chanera,18.40,73.03,288,87.27
Chanere,18.40,73.03,288,87.27
Chanpa,20.97,79.23,1017,308.18
Chanyi,20.47,76.77,1049,317.88
Chaoka,16.05,73.55,501,151.82
Chapadgaon,18.53,75.17,1827,553.64
Chapadgaon,19.35,75.37,1545,468.18
Charan,17.07,73.97,2135,646.97
Chargaon,21.40,79.28,1496,453.33
Chas,18.93,73.83,2093,634.24
Chas,19.03,74.65,2352,712.73
Chatari,19.47,77.80,1263,382.73
Chatori,18.92,76.88,1292,391.52
Chauk,18.90,73.23,131,39.70
Chauk-karjat,18.90,73.23,131,39.70
Chaurakund,21.61,77.11,1315,398.48
Chausāla,18.70,75.70,2194,664.85
Chehedi,19.93,73.87,1732,524.85
Chhadvel,21.22,74.25,1591,482.12
Chichgarh,20.88,80.38,1249,378.48
Chicholi,21.47,79.68,1003,303.94
Chichondi,19.00,74.92,2240,678.79
Chichondi,19.00,74.92,2240,678.79
Chichpalli,20.00,79.47,695,210.61
Chikal,18.90,75.98,2014,610.30
Chikalda,21.40,77.32,3520,1066.67
Chikaldongri,19.47,72.78,36,10.91
Chikalthana,19.85,75.40,1876,568.48
Chikalthān,19.85,75.40,1876,568.48
Chikalthān,20.20,75.20,2063,625.15
Chikhalgan,18.45,72.93,875,265.15
Chikhali,16.45,74.33,1781,539.70
Chikhli,16.45,74.33,1781,539.70
Chikhli,20.35,76.25,1955,592.42
Chikhli,20.03,75.78,1988,602.42
Chikhli,20.57,78.00,980,296.97
Chikhli,21.00,76.15,770,233.33
Chikli,19.52,78.25,1138,344.85
Chimthāna,21.18,74.68,695,210.61
Chimur,20.50,79.38,738,223.64
Chinchani,19.87,72.70,29,8.79
Chinchavli,18.97,73.33,147,44.55
Chinchiwad,18.62,73.78,1909,578.48
Chinchner,17.65,74.10,2132,646.06
Chinchni,19.87,72.70,29,8.79
Chincholi,18.85,77.27,1210,366.67
Chinchpokli,18.98,72.83,98,29.70
Chinchrad,18.62,73.78,1909,578.48
Chinchvad,18.62,73.78,1909,578.48
Chinchwad,18.62,73.78,1909,578.48
Chiplun,17.53,73.52,22,6.67
Chispur,18.53,75.40,1830,554.55
Chispur,18.53,75.40,1830,554.55
Chitegaon,19.73,75.48,1755,531.82
Chitepipalgaon,19.73,75.48,1755,531.82
Chopda,21.25,75.30,623,188.79
Chorondpada,18.72,72.90,216,65.45
Chota,19.62,80.30,711,215.45
Christpāda,18.53,72.92,488,147.88
Chukmpalli,19.60,80.32,692,209.70
Chuknitapilli,19.60,80.32,692,209.70
Chāhārdi,21.22,75.23,574,173.94
Chākan,18.75,73.85,2119,642.12
Chālisgaon,20.47,75.02,1128,341.82
Chānda,19.95,79.30,620,187.88
Chāndor,20.33,74.25,2814,852.73
Chāngatpuri,19.30,76.13,1312,397.58
Chāni,20.47,76.77,1049,317.88
Chāpāner,20.18,75.05,1994,604.24
Chārthāna,19.63,76.55,1496,453.33
Chātgaon,20.20,80.17,741,224.55
Colāba,18.91,72.81,108,32.73
Cooria,19.08,72.88,26,7.88
Corai,19.25,72.78,22,6.67
Cumbala,18.97,72.80,187,56.67
Cumballa,18.97,72.80,187,56.67
Dabhade,18.72,73.68,2050,621.21
Dabhadi,21.55,74.45,393,119.09
Dabhil,17.65,73.47,590,178.79
Dabhol,17.60,73.17,426,129.09
Daddi,16.07,74.43,2208,669.09
Dadi,16.07,74.43,2208,669.09
Dahanu,19.97,72.73,0,0.00
Dahigaon,19.73,75.18,1574,476.97
Dahigaon,19.50,75.18,1594,483.03
Dahihanda,20.88,77.13,862,261.21
Dahinada,20.88,77.13,862,261.21
Dahivad,21.35,74.93,564,170.91
Dahivadi,17.72,74.55,2322,703.64
Dahivel,21.07,74.17,1610,487.88
Dalvikharoshi,18.64,72.98,141,42.73
Danda,18.80,72.93,39,11.82
Dande,18.42,72.91,114,34.55
Dande,18.28,73.00,0,0.00
Dandepada,19.58,72.73,16,4.85
Dangshirvāde,20.92,74.02,1929,584.55
Daphlāpur,17.00,75.08,2093,634.24
Dapodi,18.57,73.82,1925,583.33
Dapur,19.75,74.07,2280,690.91
Darangaon,21.02,75.27,698,211.52
Darekasa,21.28,80.57,1154,349.70
Darphal,17.92,75.83,1683,510.00
Darwha,20.32,77.77,1164,352.73
Daryāpur,20.93,77.33,948,287.27
