Place,Lat,Lon,Altitude_in_ft,Altitide_in_mt
Dasgaon,18.08,73.35,36,10.91
Dativra,19.52,72.77,26,7.88
Dattāpur,20.77,78.17,931,282.12
Daulat,17.15,75.37,1965,595.45
Daulatabad,19.93,75.23,1965,595.45
Daund,18.47,74.60,1686,510.91
Davrapada,18.80,73.10,95,28.79
Davri,17.28,73.93,2847,862.73
Dawaniwada,21.50,80.05,935,283.33
Dawaniwāi,21.50,80.05,935,283.33
Dawaniwāra,21.50,80.05,935,283.33
Dawarwari,19.55,75.52,1532,464.24
Degaon,20.73,78.48,869,263.33
Deglur,18.55,77.60,1210,366.67
Dehithan,18.97,75.20,2152,652.12
Dehu,18.72,73.77,1948,590.30
Dengachi,19.90,73.13,853,258.48
Deodahiphal,18.97,76.27,1522,461.21
Deolali,19.47,74.62,1689,511.82
Deolapur,21.58,79.35,1906,577.58
Deolgaon,20.43,76.68,1138,344.85
Deoli,20.67,78.48,859,260.30
Deolāli,19.90,73.83,1784,540.61
Deolāli,19.95,73.83,1801,545.76
Deolāpār,21.58,79.35,1906,577.58
Deoni,18.25,77.10,1958,593.33
Deoni,18.25,77.10,1958,593.33
Deori,21.07,80.37,1118,338.79
Deosur,20.43,80.55,1256,380.61
Deothāna,19.08,76.73,1236,374.55
Desli,19.03,80.27,396,120.00
Desran,20.57,73.98,1998,605.45
Deulgaon,20.10,76.17,1706,516.97
Deulghat,20.52,76.12,2020,612.12
Devgabn,20.02,74.27,1683,510.00
Devgad,16.38,73.38,216,65.45
Devgaon,20.03,75.03,1696,513.94
Devgaon,20.02,74.27,1683,510.00
Devgarh,17.98,73.02,0,0.00
Devgarh,16.38,73.38,216,65.45
Devghar,17.98,73.02,0,0.00
Devla,16.97,73.58,600,181.82
Devla,20.45,74.18,1879,569.39
Devlali,19.47,74.62,1689,511.82
Devli,21.93,74.08,597,180.91
Devpur,19.88,74.15,1853,561.52
Devrukh,17.05,73.62,616,186.67
Deūlgaon,20.63,75.98,1289,390.61
Deūlgaon,20.02,76.03,1817,550.61
Dhadgaon,21.82,74.22,1151,348.79
Dhamak,20.60,77.95,964,292.12
Dhamatne,19.80,72.82,65,19.70
Dhamnad,17.60,73.60,216,65.45
Dhamni,17.62,74.65,2296,695.76
Dhandarphal,19.53,74.13,1840,557.58
Dhaner,21.08,74.07,1833,555.45
Dhaner,20.87,78.28,905,274.24
Dhanor,20.87,78.28,905,274.24
Dhanora,20.27,80.32,757,229.39
Dhanora,21.22,75.52,692,209.70
Dhanora,21.43,74.08,390,118.18
Dhanora,18.58,76.35,2027,614.24
Dhantoli,21.13,79.08,1000,303.03
Dhanāj,20.67,77.62,1082,327.88
Dhanāj,20.67,77.62,1082,327.88
Dhar,20.42,76.00,1906,577.58
Dharamtar,18.70,73.03,22,6.67
Dharangaon,21.02,75.27,698,211.52
Dharavi,19.05,72.87,36,10.91
Dharmpuri,17.95,74.68,1807,547.58
Dharmābād,18.90,77.85,1177,356.67
Dhasai,19.27,73.60,436,132.12
Dhawalpuri,19.17,74.52,2296,695.76
Dherankhar,18.74,72.97,32,9.70
Dhokaude,18.77,72.88,85,25.76
Dhond,18.47,74.60,1686,510.91
Dhondrai,19.30,75.67,1430,433.33
Dhor,19.32,75.10,1555,471.21
Dhorambe,20.33,74.07,2349,711.82
Dhoregaon,19.72,75.10,1551,470.00
Dhorkingaon,19.62,75.37,1561,473.03
Dhotre,19.87,74.60,1630,493.94
Dhotri,17.67,76.08,1673,506.97
Dhule,20.90,74.78,787,238.48
Dhulia,20.90,74.78,787,238.48
Dhulpimpri,20.82,75.23,866,262.42
Dhālgaon,17.12,74.98,2194,664.85
Dhāmangaon,20.67,76.02,1213,367.58
Dhāmnand,17.60,73.60,216,65.45
Dhāmni,20.38,77.45,1341,406.36
Dhāmni,19.67,77.20,1496,453.33
Dhāndharphal,19.53,74.13,1840,557.58
Dhānki,19.57,77.85,1282,388.48
Dhārūr,18.82,76.12,2424,734.55
Dhāyda,20.50,75.88,2011,609.39
Digharchi,17.53,74.92,1879,569.39
Dighave,20.90,74.22,1666,504.85
Dighi,18.26,72.97,0,0.00
Dighol,18.67,76.28,2112,640.00
Digholāmb,18.67,76.28,2112,640.00
Dighori,20.67,79.78,728,220.61
Dighori,21.12,79.22,895,271.21
Dighori,20.88,79.93,754,228.48
Dighori,21.12,79.22,895,271.21
Dighori,20.88,79.93,754,228.48
Dighuchi,17.53,74.92,1879,569.39
Diglur,18.55,77.60,1210,366.67
Digras,18.73,77.23,1558,472.12
Digras,19.67,77.08,1502,455.15
Digras,21.33,78.53,1269,384.55
Digras,20.12,77.72,1154,349.70
Digras,18.72,77.22,1653,500.91
Digras,21.33,78.53,1269,384.55
Digras,18.73,77.23,1558,472.12
Digvala,16.22,73.83,324,98.18
Digvol,18.67,76.28,2112,640.00
Dindori,20.20,73.83,2004,607.27
Dindrord,18.98,76.25,1479,448.18
Dindrūr,18.98,76.25,1479,448.18
Diva,19.13,72.98,3,0.91
Diva,19.18,73.03,42,12.73
Dive,19.18,73.03,42,12.73
Diveāgar,18.17,72.99,16,4.85
Dolasne,19.40,74.22,2614,792.12
Dolār,21.39,76.96,1515,459.09
Dombri,18.90,75.57,2276,689.70
Don,19.58,72.73,16,4.85
Dondaicha,21.33,74.57,498,150.91
Dondvāda,20.72,74.85,1007,305.15
Dongaon,20.18,76.72,1712,518.79
Dongargaon,21.20,80.37,1115,337.88
Dongarkharda,20.30,78.45,1151,348.79
Dongri,19.28,72.78,22,6.67
Donje,18.40,75.35,1663,503.94
Donovada,20.72,74.85,1007,305.15
Dubera,19.78,73.97,2335,707.58
Dubere,19.78,73.97,2335,707.58
Dudhabhawi,17.93,74.52,2030,615.15
Dudhani,17.37,76.37,1453,440.30
Dudhni,17.37,76.37,1453,440.30
Dukanvadi,16.05,73.92,498,150.91
Dumri,21.33,79.23,1112,336.97
Durgapur,20.00,79.30,669,202.73
Dusarbid,20.00,76.30,1643,497.88
Dusāna,21.15,74.43,1167,353.64
Dāb,21.70,74.03,2919,884.55
Dābha,19.63,79.63,554,167.88
Dābhādi,20.03,75.72,2040,618.18
Dālimb,17.87,76.48,1955,592.42
Dāpoli,17.77,73.18,574,173.94
Dāpuri,18.57,73.82,1925,583.33
Dāsave,18.40,73.50,2080,630.30
Dāsāla,19.42,76.35,1394,422.42
Dāvāle,18.61,72.93,39,11.82
Edalābād,21.05,76.05,754,228.48
Ekrukha,18.48,77.07,1814,549.70
Elgoor,19.53,80.08,623,188.79
Elgur,19.53,80.08,623,188.79
Ellichpur,21.26,77.51,1210,366.67
Ellora,20.02,75.17,1948,590.30
Erandol,20.92,75.33,744,225.45
Faizpur,21.17,75.85,741,224.55
Fatehabād,18.82,76.12,2424,734.55
Fatehpur,20.65,75.88,1049,317.88
Fatheabad,18.82,76.12,2424,734.55
Fathkhelda,20.22,76.40,1843,558.48
Funde,18.89,72.96,19,5.76
Gadhinglaj,16.23,74.35,2043,619.09
Galan,20.60,75.27,921,279.09
Galieborga,20.10,75.12,1840,557.58
Galleborgao,20.10,75.12,1840,557.58
Galna,20.77,74.53,1627,493.03
Gangākher,18.95,76.75,1253,379.70
Gangāpur,20.03,73.72,1896,574.55
Gangāpur,18.33,76.52,1876,568.48
Gangāpur,19.68,75.02,1571,476.06
Ganjoti,17.80,76.60,1876,568.48
Ganori,20.05,75.35,2198,666.06
Gargoti,16.32,74.13,1791,542.73
Garhchiroh,20.17,80.00,715,216.67
Garhchiroli,20.17,80.00,715,216.67
Gaundre,18.30,75.35,1735,525.76
Gauria,21.77,74.22,1515,459.09
Gavanchivadi,18.83,74.40,1847,559.70
Gevrai,19.27,75.75,1528,463.03
Gewardha,20.63,80.15,820,248.48
Ghakoli,19.95,76.68,1814,549.70
Ghan,19.52,75.98,1515,459.09
Ghanbi,17.43,73.83,3261,988.18
Ghanpur,19.83,79.75,531,160.91
Ghansangvi,19.52,75.98,1515,459.09
Ghansoli,19.12,72.98,3,0.91
Ghansoli,19.12,72.98,3,0.91
Ghatang,21.45,77.44,2588,784.24
Ghatanji,20.13,78.32,898,272.12
Ghatkopar,19.08,72.90,39,11.82
Gherdi,17.28,75.28,1843,558.48
Ghod,19.03,73.83,2322,703.64
Ghoda,19.03,73.83,2322,703.64
Ghodnadi,18.83,74.38,1840,557.58
Ghogari,19.30,77.65,1466,444.24
Ghogra,21.42,79.43,1000,303.03
Ghogri,19.30,77.65,1466,444.24
Ghorapdeo,18.97,72.83,108,32.73
Ghot,19.83,79.98,597,180.91
Ghotan,19.40,75.28,1541,466.97
Ghotaori,18.98,73.63,2575,780.30
Ghotavde,18.59,72.96,72,21.82
Ghoti,19.72,73.63,1902,576.36
Ghoti,19.72,73.63,1902,576.36
Ghunaki,16.88,74.28,1801,545.76
Ghunki,16.88,74.28,1801,545.76
Ghāgardarāwāri,18.77,77.20,1476,447.27
Ghārgaon,19.32,74.18,2007,608.18
Ghārāpuri,18.96,72.93,0,0.00
Ghātgarh,19.53,73.65,1873,567.58
Ghātghar,19.28,73.70,2437,738.48
Ghātkar,16.05,74.08,2477,750.61
Ghātnāndra,20.45,75.42,2116,641.21
Ghūgus,19.93,79.13,620,187.88
Gimvi,17.50,73.28,544,164.85
Girar,20.67,79.13,846,256.36
Giravali,19.08,73.85,2306,698.79
Girawali,19.08,73.85,2306,698.79
Girgaon,18.95,72.82,22,6.67
Girgaum,18.95,72.82,22,6.67
Girnāre,20.07,73.67,2027,614.24
Gobarwāhi,21.53,79.72,1020,309.09
Godhegaon,19.35,74.90,1738,526.67
Godri,18.32,76.63,1919,581.52
Goladgaon,19.83,75.60,1788,541.82
Golatgaon,19.83,75.60,1788,541.82
Golegaon,20.43,75.70,2250,681.82
Golepangri,19.72,75.85,1492,452.12
Gond,21.03,80.08,761,230.61
Gondia,21.45,80.20,1000,303.03
Goomree,19.97,80.27,954,289.09
Gorah,19.65,73.02,98,29.70
Gorai,19.25,72.78,22,6.67
Goraigaon,19.92,77.05,1587,480.91
Goregaon,19.92,77.05,1587,480.91
Goregaon,18.17,73.30,91,27.58
Goregaon,21.37,80.22,1053,319.09
Goreghat,21.57,79.57,1118,338.79
Gorhe,19.65,73.02,98,29.70
Gorthan,20.03,73.50,2352,712.73
Gosaiwadi,17.93,76.03,1820,551.52
Goshing,20.70,76.32,1056,320.00
Gothna,17.10,73.77,2936,889.70
Govane,19.90,72.80,62,18.79
Grai,19.25,72.78,22,6.67
Guguldoho,21.42,79.43,1000,303.03
Guhagar,17.47,73.20,331,100.30
Gulkhat,18.18,76.37,2076,629.09
Gurbhela,20.42,80.55,1456,441.21
Gurgaon,19.33,77.28,1249,378.48
Gutta,19.70,80.07,944,286.06
Gārgoli,16.32,74.13,1791,542.73
Gātegaon,18.43,76.40,2060,624.24
Gūmri,19.97,80.27,954,289.09
Hadgaon,19.50,77.67,1358,411.52
Hadgaon,19.32,76.33,1318,399.39
Haldi,16.60,74.15,1768,535.76
Halgar,18.10,76.88,1879,569.39
Halgira,18.10,76.88,1879,569.39
Haliwara,19.75,80.33,823,249.39
Halkarni,16.17,74.47,2162,655.15
Hanegaon,18.33,77.45,1676,507.88
Hanigaon,18.33,77.45,1676,507.88
Hanmant,17.30,74.43,2066,626.06
Hannur,17.67,76.18,1538,466.06
Harangul,18.90,76.67,1440,436.36
Haripur,16.83,74.53,1784,540.61
Harisal,21.54,77.11,1240,375.76
Harnai,17.80,73.10,13,3.94
Harsui,20.18,77.67,1131,342.73
Harsul,20.12,73.45,1227,371.82
Harsul,20.18,77.67,1131,342.73
Hathkumbe,17.00,73.42,554,167.88
Hatkalangda,16.73,74.42,1866,565.45
Hatkamba,17.00,73.42,554,167.88
Hatkanagale,16.73,74.42,1866,565.45
Hatkhambe,17.00,73.42,554,167.88
Hatnur,20.17,75.13,1922,582.42
Hatru,21.68,77.34,1715,519.70
Hatta,19.33,76.95,1276,386.67
Hattur,17.55,75.90,1430,433.33
Helvak,17.37,73.73,2040,618.18
Helwāk,17.37,73.73,2040,618.18
Her,18.42,76.97,2050,621.21
Her,18.42,76.97,2050,621.21
Herni,17.80,73.10,13,3.94
Hewra,17.70,74.42,2595,786.36
Hewro,17.70,74.42,2595,786.36
Hinganghat,20.57,78.83,705,213.64
Hingni,20.92,78.72,954,289.09
Hingoli,19.72,77.15,1499,454.24
Hingona,21.20,75.78,800,242.42
Hisala,21.27,75.10,583,176.67
Hivra,17.22,74.78,2618,793.33
Hivre,18.92,74.72,2273,688.79
Hiwarkhed,21.13,76.86,1056,320.00
Hol,21.23,75.05,508,153.94
Horti,17.88,76.30,2004,607.27
Hotgi,17.58,75.98,1476,447.27
Howas,18.77,72.87,62,18.79
Hulijanli,17.35,75.57,1561,473.03
Huljanti,17.35,75.57,1561,473.03
Humbarna,17.25,73.80,3461,1048.79
Hādgaon,19.32,76.33,1318,399.39
Hādākhed,21.42,74.97,688,208.48
Hānker,20.10,80.58,1167,353.64
Hāsnābād,20.13,75.70,1893,573.64
Hāt,20.90,80.57,1243,376.67
Hātgarh,20.53,73.75,2716,823.03
Hātron,20.83,76.88,826,250.30
Hātrūn,20.83,76.88,826,250.30
Ichalkaranji,16.70,74.47,1768,535.76
Igatpuri,19.70,73.55,1922,582.42
Indapuri,18.30,73.25,68,20.61
Indva,21.23,74.45,872,264.24
Indāpur,18.30,73.25,68,20.61
Indāpur,18.12,75.03,1728,523.64
Isab,18.63,76.12,2122,643.03
Isgaon,19.95,74.48,1683,510.00
Islahpur,19.42,78.02,1295,392.42
Islampur,17.05,74.27,1883,570.61
Itkūr,18.55,75.92,2267,686.97
Itwāri,21.15,79.13,984,298.18
Jadhala,18.65,76.80,1824,552.73
Jadho,17.83,74.53,2601,788.18
Jafarabad,20.20,76.00,1738,526.67
Jahri,19.42,76.78,1282,388.48
Jaigaon,21.05,76.53,958,290.30
Jaigarh,17.28,73.22,213,64.55
Jaikhedan,20.78,74.20,2030,615.15
Jaikhera,20.27,73.67,2257,683.94
Jainbavda,16.17,73.87,935,283.33
Jaipur,19.88,76.78,1735,525.76
Jaisingpur,16.80,74.57,1761,533.64
Jaitāpur,16.62,73.35,32,9.70
Jalam,20.82,76.58,843,255.45
Jalgaon,18.65,75.10,1830,554.55
Jalgaon,21.05,76.53,958,290.30
Jalgaon,20.40,74.48,1630,493.94
Jalgaon,17.75,73.18,603,182.73
Jalgaon,21.02,75.57,688,208.48
Jalkot,18.63,77.20,1702,515.76
Jalkote,18.63,77.20,1702,515.76
Jalod,21.17,75.15,479,145.15
Jalālkhera,21.38,78.42,1213,367.58
Jam,21.40,79.57,964,292.12
Jamb,20.62,78.93,787,238.48
Jambhulpada,18.65,73.28,141,42.73
Jamgaon,17.57,75.70,1591,482.12
Jamgaon,19.07,74.52,2490,754.55
Jamkhed,19.63,75.65,1643,497.88
Jamkhed,18.67,75.18,1807,547.58
Jamkhed,18.72,75.32,1935,586.36
Jamner,20.82,75.78,846,256.36
Jangatvadi,16.97,73.58,600,181.82
Janjira,18.33,72.97,13,3.94
Janwal,18.55,76.75,2007,608.18
Janwe,20.98,74.98,698,211.52
Jaola,19.47,76.98,1312,397.58
Jaola,19.82,77.40,1509,457.27
Jaola,18.50,76.38,2043,619.09
Jaola,18.50,76.38,2043,619.09
Jaoli,17.90,76.40,2020,612.12
Jath,17.05,75.22,2208,669.09
Jaulka,20.30,77.07,1568,475.15
Javal,20.15,77.95,1053,319.09
Jawal,20.15,77.95,1053,319.09
Jawhār,19.92,73.23,1466,444.24
Jayasingpar,16.80,74.57,1761,533.64
Jaygad,17.28,73.22,213,64.55
Jaynagar,21.48,74.60,479,145.15
Jaysingpur,16.80,74.57,1761,533.64
Jaytapur,16.62,73.35,32,9.70
Jejuri,18.28,74.17,2355,713.64
Jeur,19.20,74.80,2395,725.76
Jeur,18.28,75.17,1755,531.82
Jhalambi,21.18,73.92,643,194.85
Jhodga,20.67,74.68,1341,406.36
Jhodge,20.67,74.68,1341,406.36
Jhārāpāpra,20.08,80.50,1010,306.06
Jhīra,21.29,77.14,2503,758.48
Jigthān,19.77,75.13,1578,478.18
Jinti,18.32,74.88,1804,546.67
Jintūr,19.62,76.70,1492,452.12
Jodmoha,20.32,78.32,1295,392.42
Jogeshwari,19.82,75.20,1633,494.85
Josranjan,18.33,72.99,246,74.55
Jowla,18.53,75.27,1725,522.73
Juhu,19.10,72.82,0,0.00
Junnar,19.20,73.88,2260,684.85
Junoni,17.25,75.00,1820,551.52
Juptarai,20.33,80.33,800,242.42
Jālgaon,18.23,74.47,1886,571.52
Jālna,19.83,75.88,1604,486.06
Jāmbulghāta,20.55,79.47,764,231.52
Jāmda,20.57,74.98,964,292.12
Jāmgaon,17.55,75.68,1535,465.15
Jāmgaon,17.55,75.68,1535,465.15
Jāmod,21.11,76.61,1115,337.88
Jāmti,20.82,75.97,1013,306.97
Jānephal,20.30,76.57,1778,538.79
Jārvar,19.85,73.50,2014,610.30
Jārvar,19.85,73.50,2014,610.30
Kachurwahi,21.33,79.38,967,293.03
Kada,18.90,75.10,1961,594.24
Kadakvadi,19.28,74.37,2188,663.03
Kadegaon,17.30,74.35,2204,667.88
Kadirabad,19.85,75.90,1610,487.88
Kadus,18.88,73.82,2148,650.91
Kagwad,16.68,74.73,1873,567.58
Kahal,18.97,77.45,1174,355.76
Kahdaibari,21.12,74.13,1929,584.55
Kahim,18.72,72.87,62,18.79
Kahoj,19.22,73.18,75,22.73
Kaij,18.70,76.08,2185,662.12
Kajgaon,20.57,75.15,951,288.18
Kakmari,16.88,75.30,2181,660.91
Kalaj,18.00,74.32,1942,588.48
Kalam,20.45,78.33,928,281.21
Kalam,18.58,76.03,2080,630.30
Kalamb,20.45,78.33,928,281.21
Kalamb,19.05,73.95,2060,624.24
Kalamboli,19.03,73.10,49,14.85
Kalamnuri,19.67,77.33,1574,476.97
Kalas,18.17,74.80,1856,562.42
Kalba,18.93,72.82,49,14.85
Kalchaundi,17.50,74.75,2303,697.88
Kale,16.72,74.03,1820,551.52
Kaledhon,17.43,74.65,2513,761.52
Kalegaon,18.70,75.97,2214,670.91
Kalgaon,19.80,77.17,1581,479.09
Kalgaon,20.03,77.83,1148,347.88
Kali,19.95,77.75,1174,355.76
Kallam,18.58,76.03,2080,630.30
Kallia,16.72,74.03,1820,551.52
Kalmeshwar,21.23,78.90,1085,328.79
Kaloli,17.43,73.95,2611,791.21
Kalva,19.20,72.98,3,0.91
Kalvān,20.50,74.02,1948,590.30
Kalwa,19.20,72.98,3,0.91
Kalyan,19.25,73.15,45,13.64
Kaman,19.35,72.90,45,13.64
Kamargaon,20.62,77.50,1118,338.79
Kamari,19.40,77.75,1348,408.48
Kameri,17.00,74.27,1925,583.33
Kampa,20.67,79.58,866,262.42
Kamptee,21.23,79.20,885,268.18
Kamthikheri,21.47,79.17,1148,347.88
Kamtikhairi,21.47,79.17,1148,347.88
Kamvadi,18.43,75.27,1719,520.91
Kanasi,20.53,73.90,2165,656.06
Kanchad,19.68,73.02,118,35.76
Kandahar,18.87,77.20,1210,366.67
Kandar,18.12,75.20,1676,507.88
Kandar,19.47,80.37,669,202.73
Kandivli,17.87,73.23,711,215.45
Kandree,19.98,80.43,1020,309.09
Kandri,19.98,80.43,1020,309.09
Kandri,21.42,79.27,1666,504.85
Kanera,17.72,73.92,2473,749.39
Kaneri,20.73,80.13,830,251.52
Kanhargaon,19.95,77.15,1492,452.12
Kanheri,18.05,73.92,2601,788.18
Kankauli,16.27,73.70,147,44.55
Kankavli,16.27,73.70,147,44.55
Kannad,20.27,75.13,2076,629.09
Kanoli,16.55,73.95,2171,657.88
Kansivni,20.62,77.20,1056,320.00
Kanur,18.77,77.57,1295,392.42
Kapadna,21.03,74.80,793,240.30
Kapshi,17.33,74.32,2234,676.97
Kapūrwāhāl,18.22,73.92,2037,617.27
Karadga,16.57,74.45,1748,529.70
Karadge,16.57,74.45,1748,529.70
Karadkhel,18.48,77.50,1351,409.39
Karadoho,19.97,72.78,19,5.76
Karajgi,17.12,75.58,1669,505.76
Karajgi,17.45,76.03,1453,440.30
Karajkhar,18.05,76.27,2047,620.30
Karambavna,17.57,73.42,446,135.15
Karambavne,17.57,73.42,446,135.15
Karania,18.85,72.95,0,0.00
Karanja,18.88,72.92,42,12.73
Karanja,21.18,78.40,1469,445.15
Karanja,20.48,77.48,1387,420.30
Karanjali,20.40,73.73,2283,691.82
Karanjali,21.32,74.00,482,146.06
Karanji,20.13,78.62,941,285.15
Karanji,19.13,74.98,1994,604.24
Karanjphan,16.78,73.90,1965,595.45
Karasgaon,21.32,77.61,1272,385.45
Karde,18.73,74.35,2014,610.30
Kargani,17.32,74.88,1981,600.30
Karhati,18.25,74.42,1925,583.33
Karjat,18.92,73.33,213,64.55
Karjat,19.70,75.73,1597,483.94
Karjat,18.55,75.00,1948,590.30
Karkam,17.85,75.30,1643,497.88
Karkamb,17.85,75.30,1643,497.88
Karkheli,18.95,77.75,1217,368.79
Karkheli,18.35,77.03,2086,632.12
Karle,18.15,73.00,183,55.45
Karli,21.35,74.42,679,205.76
Karli,18.75,73.48,2043,619.09
Karmad,19.87,75.55,1971,597.27
Karmoda,21.11,76.64,1095,331.82
Karmulli,18.02,74.78,1650,500.00
Karmāla,18.42,75.20,1843,558.48
Karnala,18.87,73.10,131,39.70
Karonjali,20.40,73.73,2283,691.82
Karva,17.20,74.55,2125,643.94
Karwapa,20.12,80.17,725,219.70
Karād,17.28,74.20,1856,562.42
Kas,17.70,73.83,3687,1117.27
Kasa,19.90,72.93,91,27.58
Kasa,19.90,72.93,91,27.58
Kasal,16.15,73.68,246,74.55
Kasar,17.92,76.75,2139,648.18
Kasare,20.93,74.27,1489,451.21
Kasba,16.15,74.05,1961,594.24
Kasba,16.07,74.33,2391,724.55
Kasba,16.22,74.43,2050,621.21
Kasba,16.92,74.03,1856,562.42
Kasba,16.47,74.03,1758,532.73
Kashedi,17.88,73.42,597,180.91
Kasid,18.44,72.91,187,56.67
Kasāra,19.63,73.48,918,278.18
Kasārjaola,18.50,76.38,2043,619.09
Katala,19.72,76.27,1532,464.24
Kathi,21.78,74.05,1765,534.85
Katol,21.27,78.58,1368,414.55
Katoor,18.90,77.58,1194,361.82
Katphal,18.25,74.63,1893,573.64
Katrab,19.17,73.23,121,36.67
Katrāl,17.17,75.63,1666,504.85
Katur,18.90,77.58,1194,361.82
Kaudagon,19.10,74.92,2700,818.18
Kaudgaon,19.10,74.92,2700,818.18
Kaumloli,19.67,72.87,39,11.82
Kaundanpur,20.98,78.15,967,293.03
Kautha,20.73,78.40,912,276.36
Kauthe,18.88,74.17,2083,631.21
Kaviapur,16.93,74.63,1866,565.45
Kavlapur,16.93,74.63,1866,565.45
Kavtha,20.73,78.40,912,276.36
Kavtha,17.07,74.95,2194,664.85
Kavāde,18.78,72.94,334,101.21
Kawalguda,18.90,77.67,1092,330.91
Kawta,18.80,77.38,1200,363.64
Kayar,19.90,78.90,715,216.67
Kedgaon,18.47,74.37,1866,565.45
Kelghar,17.85,73.77,2654,804.24
Kelshi,17.92,73.06,111,33.64
Kelsi,17.92,73.06,111,33.64
Kelva,19.65,72.73,6,1.82
Kelve,19.65,72.73,6,1.82
Kelve-Mahim,19.65,72.73,6,1.82
Kelzar,19.97,79.58,623,188.79
Kem,18.17,75.28,1850,560.61
