Place,Lat,Lon,Altitude_in_ft,Altitide_in_mt
Shinde,19.92,73.88,1781,539.70
Shindevadi,17.57,75.40,1492,452.12
Shingnapur,17.85,74.67,2667,808.18
Shingve,19.27,74.67,1850,560.61
Shingwe,19.27,74.67,1850,560.61
Shingāit,20.90,75.73,734,222.42
Shirdi,19.77,74.48,1653,500.91
Shirgaon,18.49,72.97,141,42.73
Shirgaon,16.38,73.58,492,149.09
Shirgaon,17.43,73.63,918,278.18
Shirgaon-Devgad,16.38,73.58,492,149.09
Shirguppi,16.62,74.72,1768,535.76
Shirkhed,21.22,77.94,1145,346.97
Shirnandgi,17.30,75.43,1673,506.97
Shirol,16.73,74.60,1732,524.85
Shiroshi,19.40,73.62,705,213.64
Shirpur,21.35,74.88,511,154.85
Shirsadi,17.87,73.33,597,180.91
Shirsala,21.07,74.98,613,185.76
Shirsi,20.68,79.17,830,251.52
Shirsi,17.37,75.32,1837,556.67
Shirsoli,20.92,75.53,738,223.64
Shirud,20.72,74.90,974,295.15
Shirval,18.13,73.98,1978,599.39
Shirwal,18.13,73.98,1978,599.39
Shirāla,16.98,74.13,1952,591.52
Shirāla,16.47,73.87,1420,430.30
Shiur,20.03,78.07,928,281.21
Shivna,17.53,75.17,1679,508.79
Shivner,19.20,73.88,2260,684.85
Shivni,19.33,78.10,1364,413.33
Shivni,19.52,77.28,1453,440.30
Sholāpur,17.68,75.92,1502,455.15
Shot,18.97,72.93,127,38.48
Shrigonda,18.62,74.68,1840,557.58
Shriwardham,18.03,73.02,0,0.00
Shāhgadh,19.37,75.72,1368,414.55
Shāhāda,21.55,74.47,413,125.15
Shāhāda,21.47,74.30,423,128.18
Shāhājāpur,19.88,74.35,1732,524.85
Sidhnath,19.82,75.00,1587,480.91
Sihora,21.48,79.85,935,283.33
Silegaon,19.87,75.00,1620,490.91
Sillod,20.30,75.65,2007,608.18
Sindewāhi,20.28,79.65,652,197.58
Sindhkhed,19.87,78.13,889,269.39
Sindi,20.80,78.87,797,241.52
Sindkeda,21.27,74.73,551,166.97
Sindkhed,19.97,76.13,1804,546.67
Sindkheda,21.27,74.73,551,166.97
Sindkher,19.87,78.13,889,269.39
Sindvani,21.85,74.32,1128,341.82
Singad,20.05,77.63,1309,396.67
Singpur,21.58,74.12,423,128.18
Sinnar,19.85,74.00,2135,646.97
Sion,19.03,72.85,32,9.70
Siradhon,17.37,75.58,1492,452.12
Sirasgaon,21.33,77.68,1295,392.42
Sirauda,17.37,74.15,1922,582.42
Siravda,17.37,74.15,1922,582.42
Sirgupi,16.62,74.72,1768,535.76
Sirli,19.52,77.23,1463,443.33
Sirpur,20.17,76.95,1768,535.76
Sirpur,20.53,78.38,823,249.39
Sirsala,18.97,76.37,1453,440.30
Sirsi,20.68,79.17,830,251.52
Sirsuphal,18.32,74.58,1873,567.58
Sirūr,18.83,74.38,1840,557.58
Sirūr,19.07,75.43,1715,519.70
Sirūr,18.63,76.97,1755,531.82
Sivala,19.53,77.45,1351,409.39
Sivni,20.68,77.05,1069,323.94
Sivral,20.08,74.88,1863,564.55
Sivungaon,19.10,77.55,1253,379.70
Siwāla,19.53,77.45,1351,409.39
Sofāle,19.57,72.83,29,8.79
Solāpur,17.68,75.92,1502,455.15
Sonai,19.40,74.82,1640,496.97
Sonari,18.91,72.99,19,5.76
Sondad,21.07,80.10,767,232.42
Sondo,19.67,79.33,672,203.64
Sonegaon,18.57,75.42,1797,544.55
Sonegaon,20.65,78.68,839,254.24
Sonepet,19.03,76.48,1279,387.58
Sonepett,19.03,76.48,1279,387.58
Songaon,18.07,74.55,1719,520.91
Songir,21.08,74.78,803,243.33
Sonkher,19.03,77.23,1272,385.45
Sonpara,21.32,73.98,492,149.09
Sonsari,20.52,80.23,764,231.52
Sonvad,21.08,75.35,564,170.91
Sonāri,18.37,75.43,1683,510.00
Soonkhed,19.03,77.23,1272,385.45
Sophala,19.57,72.83,29,8.79
Sopāra,19.42,72.78,19,5.76
Southada,18.80,75.37,2513,761.52
Soygaon,20.60,75.62,1230,372.73
Srīvardhan,18.03,73.02,0,0.00
Sugaon,18.58,77.30,1525,462.12
Sukene,20.08,74.02,1801,545.76
Sultānpur,20.08,76.50,1732,524.85
Sumba,18.30,76.25,2171,657.88
Supa,18.33,74.38,2050,621.21
Supe,18.95,74.53,2316,701.82
Supegan,18.42,72.95,554,167.88
Supegaon,18.85,76.77,1417,429.39
Surai,18.51,72.92,32,9.70
Surdi,18.07,75.70,1587,480.91
Suregaonrasta,19.97,74.62,1738,526.67
Surekhar,18.75,72.87,59,17.88
Surgana,20.57,73.62,1748,529.70
Surjagarh,19.60,80.42,685,207.58
Surul,17.95,73.98,2522,764.24
Survani,21.83,74.17,1358,411.52
Suryamāl,19.77,73.33,1532,464.24
Susarda,21.40,76.76,1092,330.91
Sutkatta,16.07,74.52,2332,706.67
Sutkatte,16.07,74.52,2332,706.67
Tadali,20.03,79.20,711,215.45
Tadgaon,18.47,72.98,45,13.64
Tadvagle,18.65,72.98,104,31.52
Tadwalla,18.37,76.05,2208,669.09
Taharpur,19.55,73.25,285,86.36
Taharābād,20.77,74.13,2240,678.79
Tair,18.32,76.15,2060,624.24
Takarkheda,21.03,75.18,652,197.58
Takwa,18.80,73.60,2096,635.15
Takwa,18.80,73.60,2096,635.15
Tala,18.28,73.13,265,80.30
Talavada,15.87,73.73,49,14.85
Talavda,15.87,73.73,49,14.85
Talbid,17.35,74.13,1916,580.61
Talegaon,20.68,78.10,921,279.09
Talegaon,19.70,74.30,1978,599.39
Talegaon,20.15,73.82,2181,660.91
Talegaon,21.12,78.20,1013,306.97
Talegaon,18.72,73.68,2050,621.21
Talegaon,20.68,78.10,921,279.09
Talegaon,18.65,74.15,1824,552.73
Talegaon,18.65,74.15,1824,552.73
Talegaon-Dabhada,18.72,73.68,2050,621.21
Talegarh,19.08,73.63,3244,983.03
Taleghar,19.08,73.63,3244,983.03
Talekhar,18.45,72.99,39,11.82
Talgaon,16.10,73.67,118,35.76
Talkhad,19.18,76.03,1430,433.33
Talkher,19.18,76.03,1430,433.33
Talmud,17.83,76.75,1840,557.58
Talni,19.88,76.48,1643,497.88
Talni,20.77,78.25,895,271.21
Talni,18.78,77.62,1210,366.67
Taloda,21.57,74.22,380,115.15
Talode,20.48,74.83,1200,363.64
Talodhi,20.45,79.65,725,219.70
Taloje,19.08,73.08,45,13.64
Taloje,19.08,73.08,45,13.64
Talvada,20.73,75.10,984,298.18
Talvada,20.73,75.10,984,298.18
Talvād,20.18,74.78,1889,572.42
Talwai,19.32,75.87,1371,415.45
Talwāl,19.32,75.87,1371,415.45
Talāsri,20.10,72.92,147,44.55
Tamalwādi,17.83,75.97,1624,492.12
Tambe,18.85,75.50,2516,762.42
Tana,20.73,74.20,2116,641.21
Tandulvadi,17.75,76.10,1591,482.12
Tandulwadi,17.75,76.10,1591,482.12
Tanna,19.20,72.97,29,8.79
Taradgaon,18.03,74.25,1919,581.52
Tarapore,19.85,72.70,36,10.91
Tarapur,17.70,75.47,1496,453.33
Tarapur,19.85,72.70,36,10.91
Tardeo,18.97,72.82,101,30.61
Targaon,17.52,74.15,2020,612.12
Tarkalas,19.13,76.95,1233,373.64
Tarla,17.50,73.98,2132,646.06
Tarla,16.47,74.03,1758,532.73
Tarora,20.40,74.75,1377,417.27
Tarwādi,20.75,76.35,1010,306.06
Telhara,21.03,76.84,898,272.12
Tembhi,19.75,77.83,921,279.09
Tembhuida,20.35,79.02,787,238.48
Tembhurni,18.02,75.20,1696,513.94
Tembhurni,20.13,75.98,1801,545.76
Tempa,20.67,79.58,866,262.42
Ter,18.32,76.15,2060,624.24
Terevādi,18.05,73.30,121,36.67
Terkhed,18.45,75.83,2319,702.73
Thadbai,19.75,80.58,872,264.24
Thair,18.32,76.15,2060,624.24
Thal,18.69,72.87,85,25.76
Thal,18.58,72.92,32,9.70
Thalner,21.27,74.95,472,143.03
Thari,21.35,78.30,1184,358.79
Thengode,20.52,74.20,1706,516.97
Ther,18.32,76.15,2060,624.24
Thergaon,18.77,74.95,2037,617.27
Thākurvādi,18.82,73.37,1295,392.42
Thāna,19.20,72.97,29,8.79
Thāne,19.20,72.97,29,8.79
Thānepāda,21.27,74.27,1263,382.73
Thāngaon,19.70,73.93,2828,856.97
Tikondi,17.03,75.57,1715,519.70
Timdūlvādi,17.83,75.97,1624,492.12
Tingria,21.76,77.43,1489,451.21
Tirth,17.67,75.78,1512,458.18
Tirthpuri,19.43,75.93,1381,418.48
Tiruthpuri,19.43,75.93,1381,418.48
Tirāoda,16.55,73.77,518,156.97
Tisgaon,19.18,75.07,1732,524.85
Tivsa,21.08,78.05,1007,305.15
Tohogaon,19.67,79.50,524,158.79
Tokade,20.65,74.60,1456,441.21
Tonda,16.93,73.37,387,117.27
Tondāpur,20.58,75.82,1269,384.55
Top,16.78,74.28,1837,556.67
Torkhed,21.42,74.67,426,129.09
Torna,18.27,73.62,3471,1051.82
Torna,18.27,73.62,3471,1051.82
Trimbak,19.93,73.55,2362,715.76
Trombay,19.00,72.90,3,0.91
Trombay,19.03,72.93,32,9.70
Tuljapur,18.00,76.08,2125,643.94
Tuljapur,20.80,78.82,820,248.48
Tulla,18.28,73.13,265,80.30
Tumsar,21.38,79.73,892,270.30
Turambhe,19.07,73.02,32,9.70
Tākalghāt,20.92,78.90,935,283.33
Tākarkhera,21.10,77.66,1072,324.85
Tākli,19.45,74.67,1666,504.85
Tākli,18.63,74.22,1768,535.76
Tākli,20.07,75.23,2260,684.85
Tākli,19.05,74.83,2178,660.00
Tākli,19.15,74.38,2641,800.30
Tāklibhān,19.62,74.80,1601,485.15
Tāmasvādi,20.78,75.05,856,259.39
Tāmsa,19.37,77.62,1404,425.45
Tāngla,21.53,79.47,1174,355.76
Tāra,19.08,72.83,39,11.82
Tārla,16.47,74.03,1758,532.73
Tārubānda,21.47,77.14,1860,563.64
Tārābād,19.40,74.50,2125,643.94
Tārāpur,19.85,72.70,36,10.91
Tāsgaon,17.03,74.60,1837,556.67
Ubarkhed,20.93,76.90,816,247.27
Udgīr,18.38,77.12,2073,628.18
Udmal,20.67,73.48,1230,372.73
Udua,20.08,73.00,269,81.52
Udva,20.08,73.00,269,81.52
Ujni,18.70,76.70,1853,561.52
Ukshi,17.10,73.43,738,223.64
Ulhāsnagar,19.22,73.15,62,18.79
Umanoor,19.05,80.08,574,173.94
Umapur,19.30,75.60,1515,459.09
Umarga,17.83,76.62,1876,568.48
Umarkhed,19.60,77.70,1364,413.33
Umbarpada,19.47,73.08,85,25.76
Umberpāda,19.47,73.08,85,25.76
Umbra,20.22,76.65,1774,537.58
Umbra,17.93,74.88,1614,489.09
Umbraj,17.40,74.12,1912,579.39
Umbrane,20.42,74.35,1745,528.79
Umdi,17.27,75.60,1538,466.06
Umdi,17.27,75.60,1538,466.06
Umdi,17.27,75.60,1538,466.06
Umele,19.35,72.83,6,1.82
Ummapur,19.30,75.60,1515,459.09
Umred,20.85,79.33,918,278.18
Umrer,20.85,79.33,918,278.18
Umri,19.03,77.65,1259,381.52
Umri,20.10,77.58,1309,396.67
Umri,19.18,76.65,1361,412.42
Umri,19.85,78.20,918,278.18
Umunur,19.05,80.08,574,173.94
Umāla,20.92,75.65,938,284.24
Unchagao,16.70,74.28,1765,534.85
Unchagoa,16.70,74.28,1765,534.85
Unchegaon,19.63,75.97,1545,468.18
Undangaon,20.47,75.67,2286,692.73
Undīrgaon,19.68,74.68,1656,501.82
Upla,18.25,76.07,2168,656.97
Uplai,17.95,75.48,1692,512.73
Uple,18.25,76.07,2168,656.97
Uran,18.88,72.94,68,20.61
Uruli,18.48,74.13,1830,554.55
Uruli,18.48,74.13,1830,554.55
Urun,17.05,74.27,1883,570.61
Urun-Islāmpur,17.05,74.27,1883,570.61
Usarni,19.58,72.72,13,3.94
Ushtumme,18.45,73.13,39,11.82
Usmanabad,18.17,76.05,2122,643.03
Usurai,19.58,72.72,13,3.94
Utan,19.28,72.78,22,6.67
Uthambar,17.92,73.07,111,33.64
Uttur,16.23,74.27,2168,656.97
Vada,19.65,73.13,124,37.58
Vadachapat,16.13,73.57,324,98.18
Vadala,17.87,75.82,1637,496.06
Vadala,19.43,74.90,1601,485.15
Vadalibhuj,20.28,74.12,2155,653.03
Vadangali,19.92,74.17,1811,548.79
Vadangli,19.92,74.17,1811,548.79
Vadel,20.63,74.47,1509,457.27
Vadgaon,18.73,73.65,2125,643.94
Vadgaon,16.85,74.32,1833,555.45
Vadgaon-Nimbalkar,18.13,74.37,1784,540.61
Vadgaon-Pan,19.58,74.28,1824,552.73
Vadhoda,21.00,76.37,843,255.45
Vadhon,20.98,78.35,1200,363.64
Vadjhira,19.02,74.33,2240,678.79
Vadner,20.25,74.03,2040,618.18
Vadod,20.15,75.53,2027,614.24
Vadod,20.15,75.53,2027,614.24
Vadod,20.15,75.53,2027,614.24
Vadul,17.60,74.45,2391,724.55
Vadālibhui,20.28,74.12,2155,653.03
Vadūj,17.60,74.45,2391,724.55
Vagda,16.25,73.73,298,90.30
Vaghadi,21.38,74.85,479,145.15
Vaghari,20.80,75.90,1017,308.18
Vaghh,20.52,75.10,1013,306.97
Vagholi,17.62,75.65,1519,460.30
Vagholi,18.71,72.95,131,39.70
Vagholi,18.58,73.98,1965,595.45
Vaghrankhar,18.73,72.95,29,8.79
Vaghunde,18.93,74.52,2273,688.79
Vaghunde,18.93,74.52,2273,688.79
Vaijapur,19.92,74.73,1686,510.91
Vairāg,18.05,75.80,1594,483.03
Vaishet,18.69,72.88,78,23.64
Vajapur,19.00,73.22,318,96.36
Vajhur,19.07,76.85,1197,362.73
Vakav,17.98,75.60,1532,464.24
Vakhari,17.68,75.28,1538,466.06
Vakle,20.20,74.83,1925,583.33
Valap,19.05,73.13,318,96.36
Valavli,18.58,72.98,209,63.33
Valha,18.18,74.17,2106,638.18
Valki,18.95,74.75,2158,653.94
Valsang,17.60,76.08,1584,480.00
Valsang,17.05,75.32,2178,660.00
Valsavangi,20.47,75.93,1955,592.42
Valunjvadi,19.20,74.07,2211,670.00
Vambori,19.28,74.73,1850,560.61
Vangaon,19.87,72.75,39,11.82
Vanghunde,18.93,74.52,2273,688.79
Vangi,17.57,75.83,1463,443.33
Vangi,18.18,75.15,1742,527.88
Vangi,17.25,74.37,2158,653.94
Vani,20.33,73.88,2119,642.12
Vankas,20.08,72.88,98,29.70
Vanked,16.77,73.58,278,84.24
Vanyagana,17.05,73.48,820,248.48
Vapahgaon,18.88,73.98,2322,703.64
Vaphgaon,18.88,73.98,2322,703.64
Varad,20.98,75.40,711,215.45
Varandha,18.13,73.57,177,53.64
Varangaon,21.02,75.90,757,229.39
Varkheda,20.25,73.90,1975,598.48
Varkute,17.68,75.55,1522,461.21
Varse,20.92,73.98,1932,585.45
Varshi,21.25,74.83,469,142.12
Varsi,21.25,74.83,469,142.12
Varsoli,18.67,72.87,62,18.79
Varsoli,18.67,72.83,0,0.00
Varud,20.35,75.88,1984,601.21
Varula,18.75,73.48,2043,619.09
Vasai,19.35,72.80,13,3.94
Vasali,19.65,73.73,2112,640.00
Vashi,18.75,73.03,36,10.91
Vasind,19.42,73.27,85,25.76
Vatambra,17.37,75.10,1683,510.00
Vathar,17.88,74.15,2709,820.91
Vatul,16.75,73.60,393,119.09
Vaygaon,20.65,74.35,1719,520.91
Vayphāl,17.17,75.25,2076,629.09
Vedhi,19.55,72.78,26,7.88
Vedshi,18.33,75.97,2244,680.00
Velas,17.97,73.03,154,46.67
Velas,18.20,72.99,16,4.85
Velast,18.37,72.98,659,199.70
Velavli,18.61,72.96,85,25.76
Velneshvar,17.38,73.20,0,0.00
Velneshwar,17.38,73.20,0,0.00
Veltur,20.98,79.58,810,245.45
Velāpur,17.80,75.07,1637,496.06
Vengurla,15.87,73.63,36,10.91
Verul,20.55,73.87,2208,669.09
Ves,19.77,74.38,1771,536.67
Vesava,19.13,72.80,0,0.00
Veshvi,18.65,72.89,55,16.67
Vichumbe,18.98,73.13,36,10.91
Vichva,20.93,75.87,971,294.24
Vida,18.82,75.93,2398,726.67
Vidul,19.57,77.77,1332,403.64
Vifgaon,18.88,73.98,2322,703.64
Vigatpuri,19.70,73.55,1922,582.42
Vihur,18.35,72.94,101,30.61
Vijayadurg,16.57,73.33,0,0.00
Vijaydurg,16.57,73.33,0,0.00
Vikhroli,19.10,72.92,32,9.70
Vilad,19.20,74.67,1984,601.21
Vile,19.10,72.83,39,11.82
Vile-Parele,19.10,72.83,39,11.82
Ville,19.10,72.83,39,11.82
Vinbera,17.90,73.40,1279,387.58
Vinchūr,20.10,74.22,1906,577.58
Vinhera,17.90,73.40,1279,387.58
Virathān,19.55,72.78,26,7.88
Viravda,17.33,74.22,1981,600.30
Viravdi,17.33,74.22,1981,600.30
Virdel,21.32,74.70,531,160.91
Virgaon,20.67,74.13,2073,628.18
Virgaon,19.82,74.77,1607,486.97
Virmora,17.80,73.97,2250,681.82
Virpur,21.72,74.42,826,250.30
Virul,20.80,78.38,1053,319.09
Virul,20.85,78.10,1040,315.15
Virul-Ronghe,20.85,78.10,1040,315.15
Virār,19.47,72.80,36,10.91
Visapur,17.10,74.60,2007,608.18
Visapur,18.82,74.58,1981,600.30
Visarwari,21.18,73.97,646,195.76
Vishalgad,16.90,73.75,2221,673.03
Vishalgad-Amba,16.90,73.75,2221,673.03
Vishālgarh,16.90,73.75,2221,673.03
Vita,17.28,74.55,2322,703.64
Vite,17.28,74.55,2322,703.64
Vitner,20.85,75.55,793,240.30
Viziadrug,16.57,73.33,0,0.00
Vovale,18.98,73.07,45,13.64
Vādi,18.22,72.96,3,0.91
Vādi,18.72,72.98,29,8.79
Vādi,21.45,74.85,616,186.67
Vāigaon,19.70,74.90,1561,473.03
Vākad,20.65,75.70,1108,335.76
Vākalghar,18.14,72.99,577,174.85
Vālsa,20.15,75.78,1850,560.61
Vālva,17.03,74.37,1784,540.61
Vālāval,16.00,73.63,88,26.67
Vāndell,18.48,72.95,629,190.61
Vāndre,18.39,72.98,633,191.82
Vāri,19.82,74.57,1601,485.15
Vāvi,19.78,74.25,1866,565.45
Vīr,18.12,74.10,1893,573.64
Wada,18.98,73.75,2093,634.24
Wadala,19.02,72.85,32,9.70
Wadala,20.38,73.98,2447,741.52
Wadala,19.02,72.85,32,9.70
Wadegaon,20.75,79.98,754,228.48
Wadegaon,20.58,76.83,964,292.12
Wadgaon,18.08,76.12,2168,656.97
Wadgaon,19.58,74.28,1824,552.73
Wadgaon,18.73,73.65,2125,643.94
Wadgaon,16.85,74.32,1833,555.45
Wadgaon,18.13,74.37,1784,540.61
Wadhiware,19.87,73.67,2027,614.24
Wadhona,20.98,78.35,1200,363.64
Wadhona,18.52,77.08,1692,512.73
Wadjhire,19.02,74.33,2240,678.79
Wadki,20.28,78.72,721,218.48
Wadner,20.85,76.33,853,258.48
Wadner,20.45,78.73,803,243.33
Wadner,21.05,77.18,1046,316.97
Wadnera,20.45,78.73,803,243.33
Wadwani,18.98,76.05,1568,475.15
Wafgaon,18.88,73.98,2322,703.64
Wagdari,17.63,76.37,1778,538.79
Wagholi,17.90,74.08,2637,799.09
Waghrul,19.95,75.97,1916,580.61
Wahegaon,19.77,75.68,1571,476.06
Wai,17.93,73.90,2355,713.64
Waigaon,20.63,78.60,820,248.48
Wairagarh,20.42,80.10,741,224.55
Wakad,20.03,76.68,1722,521.82
Waki,18.52,73.52,2165,656.06
Walgaon,21.01,77.70,994,301.21
Walki,18.95,74.75,2158,653.94
Walsang,17.60,76.08,1584,480.00
Waluj,19.80,75.23,1630,493.94
Waluj,19.80,75.23,1630,493.94
Walur,19.50,76.57,1397,423.33
Walwad,18.45,75.53,1870,566.67
Walāndi,18.23,76.97,1925,583.33
Wamanpalli,19.57,79.53,577,174.85
Wangepalli,19.42,79.98,416,126.06
Wani,20.07,78.95,748,226.67
Wanlesswadi,17.68,74.03,2158,653.94
Wanwas,17.68,74.03,2158,653.94
Wardha,20.33,80.10,767,232.42
Wardha,20.75,78.62,941,285.15
Wardhangarh,17.73,74.25,2673,810.00
Wardhangarth,17.73,74.25,2673,810.00
Warhona,19.43,77.88,1325,401.52
Warli,19.02,72.82,32,9.70
Warora,20.23,79.00,692,209.70
Warsa,20.60,79.95,688,208.48
Warsha,20.92,73.98,1932,585.45
Warvad,17.97,75.32,1719,520.91
Warwad,17.97,75.32,1719,520.91
Wasi,18.53,75.78,2362,715.76
Wathar,17.88,74.15,2709,820.91
Welhe,18.30,73.63,2408,729.70
Welhe,18.30,73.63,2408,729.70
Welhe,18.30,73.63,2408,729.70
Wigatpura,19.70,73.55,1922,582.42
Wihamandav,19.45,75.58,1433,434.24
Wihar,20.12,79.92,682,206.67
Wihar,20.12,79.92,682,206.67
Wihigaon,20.60,76.63,1026,310.91
Wirur,19.65,79.45,547,165.76
Worli,19.02,72.82,32,9.70
Wun,20.07,78.95,748,226.67
Wátár,17.88,74.15,2709,820.91
Wādhona,18.52,77.08,1692,512.73
Wādhona,18.53,77.07,1732,524.85
Wāghād,20.23,73.72,2093,634.24
Wālvad,18.62,74.95,2116,641.21
Wāngi,18.18,75.15,1742,527.88
Wāregaon,21.32,79.40,954,289.09
Wāri,19.45,75.72,1394,422.42
Wāshīm,20.10,77.15,1791,542.73
Yadala,19.02,72.85,32,9.70
Yamkanmardi,16.13,74.53,2201,666.97
Yavat,18.47,74.28,1961,594.24
Yavatmāl,20.40,78.13,1459,442.12
Yavluj,16.73,74.13,1893,573.64
Yelamb,18.80,75.83,2299,696.67
Yelaoda,18.53,73.90,1850,560.61
Yelbāra,20.23,78.32,997,302.12
Yeldāri,16.98,75.20,2296,695.76
Yelgaon,17.13,74.03,2162,655.15
Yellabara,20.23,78.32,997,302.12
Yelvan,16.85,73.83,2053,622.12
Yeola,20.03,74.48,1765,534.85
Yeotmāl,20.40,78.13,1459,442.12
Yerandavna,18.50,73.83,1889,572.42
Yerandeshwar,19.85,76.33,1788,541.82
Yerandwane,18.50,73.83,1889,572.42
Yeraoda,18.53,73.90,1850,560.61
Yeravda,18.53,73.90,1850,560.61
Yerli,20.92,76.48,797,241.52
Yermala,18.40,75.87,2299,696.67
Yevale,20.03,74.48,1765,534.85
Yewle,20.03,74.48,1765,534.85
Yusufbadgaon,18.63,76.12,2122,643.03
Yāval,21.17,75.70,646,195.76
Zirad,18.75,72.88,75,22.73
Zīrad,18.75,72.89,127,38.48
hatid,17.28,75.05,1748,529.70
kampti,21.23,79.20,885,268.18
Ïnt,18.62,75.60,2339,708.79
Ādas,18.77,76.23,2326,704.85
Ādoli,18.27,73.77,2109,639.09
Āgargaon,21.08,79.48,790,239.39
Āmbli,18.50,72.96,9,2.73
Āmbād,18.07,75.37,1738,526.67
Āmdāpur,20.40,76.43,1870,566.67
Āndarsul,20.00,74.57,1797,544.55
Āndher,20.15,76.23,1784,540.61
Ānjangaon,20.82,77.78,1141,345.76
Ānjarle,17.85,73.09,36,10.91
Āpta,18.87,73.13,200,60.61
Āpti,18.10,73.75,2201,666.97
Ārangaon,18.67,75.18,1807,547.58
Ārgaon,20.03,73.87,1922,582.42
Ārvi,18.45,74.67,1709,517.88
Āshta,21.28,74.22,948,287.27
Āshti,19.38,76.23,1381,418.48
Āshti,18.82,75.18,1988,602.42
Āshwi,19.52,74.37,1732,524.85
Āsoda,21.03,75.60,662,200.61
